"author";"review";"Date";"film";"language";"word_count"
"Saul Levy";"No Other Land surprised me with how conventional it is, considering the reputation it has gained. Instead of offering a deep perspective on the conflict, the film sticks to an openly pro-Palestinian narrative, lacking context or real analysis. At no point does it interview Israeli soldiers, civilians, or officials, making it clear that there is no real interest in exploring both sides. Instead, it simply presents scenes like “look at this mother and child sad while their home is destroyed” to force the audience into drawing rushed conclusions.";"02-03-2025";"No Other Land";"en";88
"Bunny Anarchy";"There are many things that I wish to happen for the human race that i don't necessary think that, in my short life here on this planet, my generation may get to witness. I hope and believe though, in the deepest pit of my heart, before I shuffle off this mortal coil, we will get to see Israel become nothing more than an obsolete, disgusting piece of history we think nothing about other than to remind ourselves of the sort of sadistic souls we should never let our societies be defined and ruled by.";"25-09-2024";"No Other Land";"en";94
"meera";"Very lucky to have seen this at the Film Forum. Unbelievable that it still has no distribution. I wish everyone could have access to this movie because it’s one of the most important documentaries I’ve ever seen.";"31-01-2025";"No Other Land";"en";37
"Reto Hochstrasser";"The flick is ranked 8th on the LB top 250 best documentaries ever list - which is certainly far too high. Many people give the film such a high rating because of the shocking, heartbreaking subject matter. And it is indeed very important to address the atrocities of the Israeli state, but the film is too one-sided, too diffuse, too simplistic and not integrated into a larger historical context. But as a personal diary it is worth seeing and interesting.At least the film is not as crude a propaganda of violence as other films on this list.";"06-02-2025";"No Other Land";"en";97
"em";"I find it difficult to try and write something so fluent or free-flowing after having seen this... impossible even. The horrors that keep flaming decade after decade with no visible change is disconcerning to say the least — an ever-lasting fervent battle always eats away as the settlers destroy the land of the people. A grueling experience to say the least, but a necessary one; turning away is never an option despite the fact that brutality burns through your eyes constantly.";"27-02-2025";"No Other Land";"en";81
"Matěj Bureš";"I think what makes this film so effective is that it simply points a camera at the harrowing reality of these people, at the horrors being committed by the Israeli army, and just shows it to you and lets you live in it for 90 minutes. It’s not a political documentary, not at its core at least - it’s a humanitarian documentary. It doesn’t really delve into the history of the conflict and such, it simply shows you a village and the people in it, innocent civillians who are being treated like animals.";"01-03-2025";"No Other Land";"en";93
"christine ʚɞ";"a win for every soul that never got to tell their story. it was free palestine yesterday, it's free palestine today and it will be free palestine tomorrow";"04-03-2025";"No Other Land";"en";28
"sam";"chilling but tender. i haven’t seen any of the other nominees in the documentary category ever but i feel confident saying this is the most important oscar win in history. it is corrosive to the soul to ignore what is happening in palestine. watch this";"07-03-2025";"No Other Land";"en";45
"Doom";"Hamdan Ballal, co-director of this documentary, has just been severely beaten and kidnapped by settlers. His current whereabouts and condition are both unknown as of the time of posting this review. Source: co-director Yuval Abraham's twitter ";"24-03-2025";"No Other Land";"en";36
"𝖏𝖚𝖑𝖊𝖘ִ‧☾";"i can't believe they've arrested Hamdan Ballal...silencing voices that speak out against oppression only proves how necessary those voices are. free Palestine, always 🇵🇸";"25-03-2025";"No Other Land";"en";24
"Matt chan";"Undeniable. The way this film has been treated at every institutional level, apart from The Academy which benefits from the shroud of anonymity, exposes the dysfunction and moral cowardice at the root of the modern film industry— choosing to overlook a film both urgent and relevant to the public out of fear, catering to a smaller and smaller demographic as more and more people begin to realize the medium’s failure to capture our current reality, which this film more than exposes.";"01-04-2025";"No Other Land";"en";81
"Enfant du Siècle";"The resilience of the Palestinian people seems to know no bounds as well as the abhorrent actions of the genocidal state of Israel, the cruelty of its militia, and the indolence of its people. The relationship established between Basel and Yuval, however complex the dimensions of the Arab-Israeli conflict may be, shows that a path to mutual understanding is possible. No Other Land is a powerful and devastating film, eliciting a range of emotions from grief and rage to a profound despair and helplessness. However, as the protagonists express it in their last conversation, beyond being moved by witnessing this horrendous reality far from us, how can we help to fight injustices, is it even possible? Is this film a way to keep hope alive? Or will it become a vestige, a conclusive proof of the injustice and hatred that ended up uprooting the Palestinian people?";"21-05-2025";"No Other Land";"en";146
"salaarrr";"I don't usually watch documentary films but this is one of the most important piece of media to come out in recent years. It's sad I have a following of 2000 and barely less than 20 people have watched this..it's a must watch for every human being who has humanity left in them. I'm so glad it won the Oscar in the room full of people who have sold their souls to hollywood and its deep dark underooted politics.";"26-06-2025";"No Other Land";"en";79
"🦇 Count DuLac 🧛‍♂️";"Oscars always nominate “important” documentaries every year but I’d argue few have been this important. The film serves as an eye witness account of a part of recent history that keeps getting gaslit by news agencies and world leaders. They like to present this conflict in simplistic black and white terms as if people have no memory of the past. It’s especially surprising to see this nominated considering how the movie industry has treated stars that have been outspoken. They’d rather you just don’t express an opinion. ";"17-02-2025";"No Other Land";"en";87
"Luca De La Fuente🩷🍋";"""We have no other land This is our land That's why we suffer for it.""";"08-04-2025";"No Other Land";"en";15
"Dawson Joyce";"My pick for the year's very best film, No Other Land is also its most vitally important, as the courageous and selfless team of Basel Adra, Rachel Szor, Hamdan Ballal, and Yuval Abraham don't hold back in depicting — and confronting head-on — the unspeakable horrors and devastating tragedies, both individual and communal, that Israel's government and military have mercilessly and unjustifiably unleashed unto Palestine and its people. As this invaluable document plays out, you'll feel your heart sinking into… more";"07-11-2024";"No Other Land";"en";81
"Ar Nam Ho 何阿嵐";"In No Other Land, the small village is repeatedly crushed by the Israeli army, becoming a symbol of Palestine itself. The film is not about the personal story of the subjects being filmed. The protagonist's personal narrative is deliberately downplayed, and it's not a flaw that the documentary doesn't convey his personality or history. He represents every Palestinian who still believes in the possibility of peaceful action. This isn't just an individual story—it's a condensation of everything that Palestine embodies.";"24-02-2025";"No Other Land";"en";80
"satria.";"""Land you have to kill for is not yours. Land you have to die for is.""";"04-03-2025";"No Other Land";"en";16
"Josh";"America deciding not to distribute this after giving them a crowning award adds to the problem. I understand to some degree as they don't want to find themselves at war with Israel even more than they already are but the awareness it would bring to the genocide would be immeasurable. Knowing that one of the directors was also kidnapped by Israeli's shows how heartless they truly are, taking land based on laws which existed before they were even born. It's… more";"30-03-2025";"No Other Land";"en";81
"Tom Brice";"No Other Land (2024) is an achievement in documentary filmmaking that defies belief. Filmed over four years (2019-2023) with next to no budget, it focuses on a young Palestinian activist’s (Basel Adra) efforts to resist the forced displacement on his hometown Masafer Yatta in the West Bank by Israeli forces. ";"04-06-2025";"No Other Land";"en";50
"True";"“In these roads near my home, two kinds of cars pass: Yellow plates. Green plates. Israeli cars are yellow. They can move freely in the land. It's illegal for me to drive them. Palestinian cars are green. They can't leave the West Bank. Israel controls both colors. An entire world built on a division: Green man. Yellow man.”";"11-06-2025";"No Other Land";"en";58
