"year";"title";"score";"abstract";"Director";"cast";"genres";"link"
2021;"Black Widow";2,93;"Natasha Romanoff, also known as Black Widow, confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises. Pursued by a force that will stop at nothing to bring her down, Natasha must deal with her history as a spy and the broken relationships left in her wake long before she became an Avenger.";"Cate Shortland";"Scarlett Johansson; Florence Pugh; Rachel Weisz; David Harbour; Ray Winstone; Ever Anderson; Violet McGraw; O-T Fagbenle; William Hurt; Olga Kurylenko; Ryan Kiera Armstrong; Liani Samuel; Michelle Lee; Lewis Young; C.C. Smiff; Nanna Blondell; Simona Zivkovska; Erin Jameson; Shaina West; Yolanda Lynes; Claudia Heinz; Fatou Bah; Jade Ma; Jade Xu; Lucy-Jayne Murray; Lucy Cork; Eniko Fulop; Lauren Okadigbo; Aurélia Agel; Zhanè Samuels; Shawarah Battles; Tabby Bond; Madeleine Nicholls; Yasmin Riley; Fiona Griffiths; Georgia Curtis; Ione Butler; Aubrey Cleland; Kurt Yue; Douglas Robson; Zoltán Nagy; Marcel Dorian; Liran Nathan; Judit Varga-Szathmary; Noel Krisztian Kozak; Martin Razpopov; Olivier Richters; Nina Novich; Andrew Byron; Ed Ashe; Dawid Szatarski; Cali Nelle; Geoffrey D. Williams; Robert Pralgo; Jacinte Blankenship; Josh Henry; Jose Miguel Vasquez; Valentina Herrera; Danielle Jalade; Aria Brooks; Sophie Colgrove; Caister Myung Choi; Rob Horrocks; Oliver Simms; Yuuki Luna; Kalina Vanska; Jordyn Curet; Joakim Skarli; Ian Wilson; Gavin Lee Lewis; Luigi Boccanfuso; Clem So; Graham Kitchen; Paul O'Kelly; Obie Matthew; Ty Hurley; Stephen Samson; Julia Louis-Dreyfus; Jeremy Renner; Dale Liner";"Action; Adventure; Science Fiction";"https://letterboxd.com/film/black-widow-2021/"
2022;"Thor: Love and Thunder";2,37;"After his retirement is interrupted by Gorr the God Butcher, a galactic killer who seeks the extinction of the gods, Thor Odinson enlists the help of King Valkyrie, Korg, and ex-girlfriend Jane Foster, who now wields Mjolnir as the Mighty Thor. Together they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher’s vengeance and stop him before it’s too late.";"Taika Waititi";"Chris Hemsworth; Natalie Portman; Christian Bale; Tessa Thompson; Taika Waititi; Russell Crowe; Jaimie Alexander; Idris Elba; Chris Pratt; Dave Bautista; Karen Gillan; Pom Klementieff; Sean Gunn; Vin Diesel; Bradley Cooper; Carly Rees; Kat Dennings; Brett Goldstein; Stellan Skarsgård; Luke Hemsworth; Matt Damon; Sam Neill; Melissa McCarthy; Ben Falcone; Suren Jayemanne; Natasha Cheng; Stephen Curry; Bobby Holland Hanton; Daley Pearson; Dianne Close; Greg Mitchell; Briegh Winderbaum; Mayzie Winderbaum; Izaac Winderbaum; Alanis Long Borrello; Emmeline Luka Bale; Kieron L. Dyer; India Rose Hemsworth; Simon Russell Beale; Manny Spero; Jonny Brugh; Andrew Crawford; Chanique Greyling; Brooke Satchwell; Elsa Pataky; Zia Kelly; Rosangela Fasano; Cameron Chapek; Tristan Hemsworth; Samson Alston; Alan Spies; Eliza Matengu; Shari Sebbens; Victoria Zerbst; Johnny Nasser; Jenna Owen; Gemma Dart; Victoria Ferrara; Ava Rodrigo-Porter; Elsa Rodrigo-Porter; Kaan Guldur; Indeia Booc; Indiana Ierano; Cayla Sutherland; Tui Vincent; Garth Wood; Yure Covich; Matatia Foa'i; Alan Dukes; Alan Tsibulya; Arka Das; Simona Paparelli; Nico Cortez; Priscilla Doueihy; Nicole Milinkovic; Chayla Korewha; Imaan Hadchiti; Carmen Foon; Clariza Vicente; Kuni Hashimoto; Stephen Hunter; Justin Paul Hitchcock; Nazih Kheir; Tatyana Gillam; Indiana Evans; Samantha Allsop; Olivia Vasquez; Adam Todd; Josh Heuston; David Hambly; Janessa Dufty; Ava Caryofyllis; Chloé Gouneau; Ben Sinclair; Jane Yubin Kim; Dave Cory; Te Kainga O'Te Hinekahu Waititi; Matewa Kiritapu Waititi; Sasha Hemsworth; Aleph Millepied; Amalia Millepied; Rex Bale; Molly Moriarty; Hannah Gray; Luc Barrett; Luca Darda; Bo Chambers; Zali Mae Harrison; Leeton Alan Ingrey; Evan Stanhope; Jessica May Lynne; Jaimee Rose Lynn; Kim Thien Doan; Simone Landers; Sienna Ngeru; Rafael Siemer; Gabriel Siemer; Ronin Fabi; Arias Vang; Corban Ierano; Xander Mouradian; Jacob Yee; Zhang Chongwei";"Action; Fantasy; Comedy";"https://letterboxd.com/film/thor-love-and-thunder/"
2021;"Encanto";3,49;"The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family’s last hope.";"Byron Howard";"Stephanie Beatriz; María Cecilia Botero; John Leguizamo; Diane Guerrero; Jessica Darrow; Carolina Gaitán; Angie Cepeda; Ravi Cabot-Conyers; Mauro Castillo; Rhenzy Feliz; Wilmer Valderrama; Adassa; Maluma; Rose Portillo; Juan Castano; Sarah-Nicole Robles; Hector Elias; Alan Tudyk; Noemi Josefina Flores; Olga Merediz; Jorge E. Ruiz Cano; Alyssa Bella Candiani; Paisley Day Herrera; Brooklyn Skylar Rodriguez; Ezra Rudulph";"Comedy; Family; Fantasy; Animation";"https://letterboxd.com/film/encanto/"
2023;"Five Nights at Freddy’s";2,57;"Recently fired and desperate for work, a troubled young man named Mike agrees to take a position as a night security guard at an abandoned theme restaurant: Freddy Fazbear’s Pizzeria. But he soon discovers that nothing at Freddy’s is what it seems.";"Emma Tammi";"Josh Hutcherson; Piper Rubio; Elizabeth Lail; Matthew Lillard; Mary Stuart Masterson; Kat Conner Sterling; David Lind; Christian Stokes; Joseph Poliquin; Grant Feely; Asher Colton Spence; David Huston Doty; Liam Hendrix; Jophielle Love; Tadasay Young; Michael P. Sullivan; Wyatt Parker; Lucas Grant; Jessica Blackmore; Garrett Hines; Ryan Reinike; Theodus Crane; Julia Belanova; Lisa Mackel Smith; Xander Mateo; Matthew Patrick; Bailey Winston; Gralen Bryant Banks; Cory Kenshin; Victoria Patenaude; Kellen Goff; Judy Geeson";"Horror; Thriller";"https://letterboxd.com/film/five-nights-at-freddys/"
2021;"The Worst Person in the World";4,09;"The chronicles of four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is.";"Joachim Trier";"Renate Reinsve; Anders Danielsen Lie; Herbert Nordrum; Hans Olav Brenner; Helene Bjørnebye; Vidar Sandem; Maria Grazia Di Meo; Lasse Gretland; Karen Røise Kielland; Marianne Krogh; Thea Stabell; Deniz Kaya; Eia Skjønsberg; Ruby Dagnall; Torgny Amdam; Rebekka Jynge; Sigrid Sollund; Are Skeie Hermansen; Siri Forberg; Sofia Schandy Bloch; Anna Dworak; Savannah Marie Schei; August Wilhelm Méd Brenner; Karla Nitteberg Aspelin; Tumi Løvik Jakobson; Jonathan Nielssen; Maren Emilie Haagenrud Buskoven; Olav Stubberud; Martin Gran; Geir Ørnholt; Tobias Klemeyer Smith; Nataniel Nordnes; Trygve Indrelid; Trude Schjelderup Iversen; Zoe Maland Rogers; Jonas Lund; Hildur Kristinsdottir; Johanna Brym Ryg; Thomas Teige; Margrethe Glambek; Ine Jansen; Gisle Tveito";"Drama; Romance; Comedy";"https://letterboxd.com/film/the-worst-person-in-the-world/"
2025;"Materialists";3,02;"A young, ambitious New York City matchmaker finds herself torn between the perfect match and her imperfect ex.";"Celine Song";"Dakota Johnson; Chris Evans; Pedro Pascal; Zoe Winters; Marin Ireland; Louisa Jacobson; Dasha Nekrasova; Emmy Wheeler; Eddie Cahill; Sawyer Spielberg; Joseph Lee; John Magaro; Nedra Marie Taylor; Sietzka Rose; Halley Feiffer; Madeline Wise; Ian Stuart; Dan Domenech; Emiliano Díez; Rachel Zeiger-Haag; Alison Bartlett; Lindsey Broad; Baby Rose; Fernando Belo; Will Fitz; Beshoy Mehany";"Romance; Drama";"https://letterboxd.com/film/materialists/"
2022;"Smile";2,85;"After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter starts experiencing frightening occurrences that she can’t explain.";"Parker Finn";"Sosie Bacon; Kyle Gallner; Jessie T. Usher; Robin Weigert; Caitlin Stasey; Kal Penn; Rob Morgan; Gillian Zinser; Judy Reyes; Jack Sochet; Nick Arapoglou; Perry Strong; Matthew Lamb; Dora Kiss; Meghan Brown Pratt; Jared Johnston; Ura Yoana Sánchez; Vanessa Cozart; Shu Q; Shevy Gutierrez; Sara Kapner; Steven Strickland; Kevin Keppy; Marti Matulis; Scot Teller; Michelle Persiano; Setty Brosevelt; Jerry Lobrow; Brandon Brigman; Nadia Ramdass; Athena Smiley; Rachel Yong; Irene Blackman; Steven Bullock; Felix Melendez Jr.; Elaine Apruzzese; Sebastian Deerkop; Daniel Irmas; Shanea Lattimore; Anne Schmalzigan; Joseph Tornatore";"Horror; Mystery";"https://letterboxd.com/film/smile-2022/"
2023;"Society of the Snow";4,15;"On October 13, 1972, Uruguayan Air Force Flight 571, chartered to take a rugby team to Chile, crashes into a glacier in the heart of the Andes.";"J.A. Bayona";"Enzo Vogrincic; Agustín Pardella; Matías Recalt; Esteban Bigliardi; Diego Vegezzi; Fernando Contigiani García; Esteban Kukuriczka; Francisco Romero; Rafael Federman; Valentino Alonso; Tomás Wolf; Agustín Della Corte; Felipe Otaño; Andy Pruss; Blas Polidori; Felipe Ramusio; Simón Hempe; Luciano Chattón; Rocco Posca; Paula Baldini; Emanuel Parga; Juan Caruso; Benjamín Segura; Santiago Vaca Narvaja; Fede Aznárez; Agustín Berruti; Alfonsina Carrocio; Louta; Juandi Eirea Young; Jerónimo Bosia; Giselle Douaret; Agustín Lain; Julian Bedino; Federico Formento; Lautaro Bakir; Tea Alberti; Francisco Bereny; Toto Rovito; Lucas Mascarena; Maximiliano de la Cruz; Juan José Marco; Mariano Rochman; Esteban Pico; Pablo Tate; Virgínia Kauffmann; Francisco Burghi; Daniel Patricio Antivilio Acuña; Ezequiel Fadel Hinojosa; Gustavo F. Sasco; Facundo Roure; Gas; Emanuel Sobré; Carlos Miguel Páez Rodríguez; Tomás Friedmann; Roberto Suárez; Constanza del Sol Giraudo; Gabriela Quartino Tilve; Sergio Armand'ugón; María Elena Pérez; Julio Lachs; Camila Chieza; Franco Rilla; Ignacio Martínez; Ramiro Rutz; Sandra Américo; Claudia Trecu De Lucía; Susana Groisman; Julieta Marcus; Clara Roibal Camino; Clara Ibarra Vierci; Lorenzo Bigliardi; Carolina Steinhorn; Belen Giannini; Camila Giannotti; Sofía Lara; Verónica Perrotta; Rogelio Gracia; Álvaro Armand Ugón; Sara Bessio; Noelia Campo; Juan Carlos Alcayaga González; Consuelo Ortega; Pedro Luque; Carlos García Bayona; Pablo Vierci; Berch Rupenian; Nando Parrado; Roberto Canessa; Antonio José Vizintín Brandi; José Luis Inciarte Vázquez; Gustavo Zerbino Stajano; Daniel Fernández Strauch; Ramón Mario Sabella Barreiro; Joaquín De Freitas Turcatti; Juan Andrés Hidalgo Aguayo; Eder Fructos; Ernesto Torres De Rago; Viviana Campugiani; María Laura Berch; Gustavo Saffores; Marcelo Zurita; John Despaux; Luis Barreiro Delgado; José Andrés Mediza Teodoro; Imma Stawski; Enzo Lombardi Fernández; Claudio Martín; Benicio Sarubbo Colucci; Florencia Colucci";"History; Drama";"https://letterboxd.com/film/society-of-the-snow/"
2024;"The Brutalist";3,91;"When a visionary architect and his wife flee post-war Europe in 1947 to rebuild their legacy and witness the birth of modern United States, their lives are changed forever by a mysterious, wealthy client.";"Brady Corbet";"Adrien Brody; Felicity Jones; Guy Pearce; Joe Alwyn; Raffey Cassidy; Stacy Martin; Isaach de Bankolé; Alessandro Nivola; Ariane Labed; Michael Epp; Emma Laird; Jonathan Hyde; Peter Polycarpou; Maria Sand; Salvatore Sansone; Zephan Amissah; Charlie Esoko; Levente Orbán; Benett Vilmányi; Peter Deutsch; Abigél Szőke; Daniel Washington; András Borgula; Zsolt Páll; Anna Mészöly; Mariann Hermányi; Nicholas Wittman; Robert Jackson; Peter Linka; Jeremy Wheeler; Stephen Saracco; Jaymes Butler; David Puskas; Laurent Winkler; Hermina Fátyol; Dóra Sztarenki; Natalie Shinnick";"History; Drama";"https://letterboxd.com/film/the-brutalist/"
2025;"28 Years Later";3,47;"Twenty-eight years since the rage virus escaped a biological weapons laboratory, now, still in a ruthlessly enforced quarantine, some have found ways to exist amidst the infected. One such group lives on a small island connected to the mainland by a single, heavily-defended causeway. When one member departs on a mission into the dark heart of the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other survivors as well.";"Danny Boyle";"Jodie Comer; Alfie Williams; Aaron Taylor-Johnson; Ralph Fiennes; Edvin Ryding; Christopher Fulford; Stella Gonet; Chi Lewis-Parry; Jack O'Connell; Rocco Haynes; Kim Allan; Sandy Batchelor; Amy Cameron; Geoffrey Newland; Joe Blakemore; Celi Crossland; Robert Rhodes; Erin Kellyman; Sam Locke; Maura Bird; Ghazi Al Ruffai; Emma Laird; Sienna Giblin; Hayley Walters; Peter Labas; Kat Kitchener; Jason Kuang Yao Lee; Ember Storm; Jake Grimes; Chris Gregory; Helen Rowlands; Haley Flaherty; Harriet Taylor; Hannah Allan-Robertson; Annabelle Graham; Olivia Morley; Theadora Rawlings; Darcie Smith; Isla Vickers; Lachlan Tucker; Winnow Short; Olivia Grace Lee; Lucas Toole; Cohen Lewis Williamson; Myles Woodhouse; Gordon Alexander; Angus Neill; Col Needham; RuMac";"Science Fiction; Thriller; Horror";"https://letterboxd.com/film/28-years-later/"
2021;"Luca";3,7;"Luca and his best friend Alberto experience an unforgettable summer on the Italian Riviera. But all the fun is threatened by a deeply-held secret: they are sea monsters from another world just below the water’s surface.";"Enrico Casarosa";"Jacob Tremblay; Jack Dylan Grazer; Emma Berman; Saverio Raimondo; Maya Rudolph; Marco Barricelli; Jim Gaffigan; Peter Sohn; Lorenzo Crisci; Marina Massironi; Gino La Monica; Sandy Martin; Giacomo Gianniotti; Elisa Gabrielli; Mimi Maynard; Sacha Baron Cohen; Francesca Fanti; Jonathan Nichols-Navarro; Enrico Casarosa; Jim Pirri; Arturo Sorino";"Fantasy; Comedy; Adventure; Family; Animation";"https://letterboxd.com/film/luca-2021/"
2025;"One Battle After Another";4,4;"When their evil nemesis resurfaces after 16 years, a band of ex-revolutionaries reunite to rescue the daughter of one of their own.";"Paul Thomas Anderson";"Leonardo DiCaprio; Sean Penn; Chase Infiniti; Benicio del Toro; Regina Hall; Teyana Taylor; Wood Harris; Tony Goldwyn; D.W. Moffett; Paul Grimstad; Dijon; Kevin Tighe; John Hoogenakker; Eric Schweig; April Grace; Jim Downey; Alana Haim; Shayna McHayle; Brooklyn Demme; Sachi Diserafino; Melissa Dueñas; Starletta DuPois; Vanessa Ganter; Otillia Gupta; Nia Leon; Peter N. Lyas III; Joe Silva; Jeffrey Massagli; Nicole J. Sunseri; Tisha Sloan; Alberto Garcia; Antonio Tadeo Garcia; Patricia Ridgely-Storm; Ted McCarthy; Jeremy Boone; James Raterman; Bryan Pickens; Travis Johnston; Matthew Demildt; Jason Belford; Matthew McDonnell; Jose L Barreiro; Quentin L. Carter; Brian Bishop; Daniel Zinoviev; Steven Knoll; Sam Hunter; Louis Hoffman; Steven P. Jacobson; Justin Millmore; Peter Sutherland; Carlos McFarland; Colton Gantt; Elisabeth Pease; Autumn Crosswhite; Mickey Giacomazzi; Omar Khattab; Stephanie Coker Aderonokun; Kayla Harvey; Kimberlyn Ramirez Moreno; Sydney Ann Taylor; Maria Fernanda Jimenez Nava; Jena Malone; Dan Chariton; Sandra Iturbe; Marisela Borjas Ramirez; Derrick J. Saenz; Esperanza Rodarte De Santoyo; Hadasa Genesaret Palomares; Gilberto Martinez Jr.; Luis Trejo; Julian Corral; Elijah Joseph Sambrano; Sherron Gassoway; Pearl Minnie Anderson; Sister Kate; Sister Halla; Sister Lilly; Sister Esme; Sister Karina; Sister Laura; Sister Delphi; Sister Yuka; Bella Feinstein; Madison Feinstein; Tuesday Hansen; Zoe Herschlag; J. Izon; Joanna Scott Satterwhite; Robert Sherock; Lynette M. Telles; Pamela Limbaugh-Brouhard; Antonio Garcia; Emilio Carranza; Juan V. Ramirez; Ron Bermudez Perea; Edith Ascencion; David Reynoso; Timothy Cruz Kravitz; Jon Beavers; Anthony Weise";"Thriller; Comedy; Action; Crime";"https://letterboxd.com/film/one-battle-after-another/"
2021;"Shang-Chi and the Legend of the Ten Rings";3,41;"Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.";"Destin Daniel Cretton";"Simu Liu; Tony Leung Chiu-wai; Awkwafina; Ben Kingsley; Meng'er Zhang; Fala Chen; Michelle Yeoh; Yuen Wah; Florian Munteanu; Andy Le; Paul He; Jayden Tianyi Zhang; Elodie Fong; Arnold Sun; Stephanie Hsu; Kunal Dudheker; Tsai Chin; Jodi Long; Dallas Liu; Ronny Chieng; Daniel Liu; Stella Ye; Fernando Chien; Michael-Anthony Taylor; Zach Cherry; Raymond Ma; Thau Shen Lim; Lau Ga-Yung; Johnny Carr; Harmonie He; Lydia Sarks; John Harding; Lynette Curran; Benjamin Wang; Benedict Wong; Jade Xu; Shelley Xu; Alistair Bates; Dee Bradley Baker; Tim Roth; Mark Ruffalo; Brie Larson; David Chea; Bingchen Ye; Zhou Yeye; Zhang Chongwei; Louis Abdilla";"Adventure; Fantasy; Action";"https://letterboxd.com/film/shang-chi-and-the-legend-of-the-ten-rings/"
2021;"Last Night in Soho";3,43;"A young girl, passionate about fashion design, is mysteriously able to enter the 1960s where she encounters her idol, a dazzling wannabe singer. But 1960s London is not what it seems, and time seems to be falling apart with shady consequences.";"Edgar Wright";"Thomasin McKenzie; Anya Taylor-Joy; Matt Smith; Rita Tushingham; Michael Ajao; Synnøve Karlsen; Pauline McLynn; Terence Stamp; Diana Rigg; Aimée Cassettari; Colin Mace; Jessie Mei Li; Kassius Nelson; Rebecca Harrod; Alan Mahon; Connor Calland; Josh Zaré; Jacqui-Lee Pryce; Elizabeth Berrington; James Phelps; Oliver Phelps; Beth Singh; Paul Brightwell; Will Rogers; Terence Frisch; Celeste Dring; Jeanie Wishes; Andrew Bicknell; Adam Sopp; Richard Corgan; Michael Mears; Tom Hartwell; Paul Hamilton; Wayne Cater; Sam Claflin; Sam Parks; Alan Ruscoe; Margaret Nolan; Christopher Carrico; Kent Goldfinch; Ian Harrod; Ian Hartley; Daniel Maggott; Richard O'Sullivan; Michael Jibson; Lisa McGrillis; Al Roberts; Derek Lea; Lati Gbaja; Paul Riddell; Katrina Vasilieva; Ashley Shaw";"Drama; Horror; Thriller; Mystery";"https://letterboxd.com/film/last-night-in-soho/"
2025;"Final Destination Bloodlines";3,23;"Plagued by a violent recurring nightmare, college student Stefanie heads home to track down the one person who might be able to break the cycle and save her family from the grisly demise that inevitably awaits them all.";"Adam B. Stein";"Kaitlyn Santa Juana; Teo Briones; Rya Kihlstedt; Richard Harmon; Owen Patrick Joyner; Anna Lore; Alex Zahara; April Telek; Andrew Tinpo Lee; Tony Todd; Brec Bassinger; Gabrielle Rose; Max Lloyd-Jones; Brenna Llewellyn; Natasha Burnett; Jayden Oniah; Mark Brandon; Yvette Ferguson; Garfield Wilson; Justin Stone; Bernard Cuffling; Travis Turner; Noah Bromley; Ardy Ramezani; Panou; Robbie Segulam; Megan Hui; Janelle Beadall; Kwesi Ameyaw; Troy Mclaughlin; Kim Kondrashoff; Tanya Gaudreault; Nikolai Witschl; Jeanie Cloutier; Ethel Pitchford; Sophia Chapdelaine; Luke Alfred Bateman; Matty Finochio; Shawn C. Orr";"Mystery; Horror";"https://letterboxd.com/film/final-destination-bloodlines/"
2024;"Twisters";3,26;"As storm season intensifies, the paths of former storm chaser Kate Carter and reckless social-media superstar Tyler Owens collide when terrifying phenomena never seen before are unleashed. The pair and their competing teams find themselves squarely in the paths of multiple storm systems converging over central Oklahoma in the fight of their lives.";"Lee Isaac Chung";"Daisy Edgar-Jones; Glen Powell; Anthony Ramos; Brandon Perea; Maura Tierney; Harry Hadden-Paton; Sasha Lane; Daryl McCormack; Kiernan Shipka; Nik Dodani; David Corenswet; Tunde Adebimpe; Katy O'Brian; David Born; Paul Scheer; Laura Poe; Austin Bullock; Stephen Oyoung; Alex Kingi; Chris Adrien; Samantha Ireland; Aila Grey; Jeff Swearingen; James Paxton; Lily Smith; Randy Ballard; Ashley Moss; Mike Morgan; Emily Sutton; Julie Oliver-Touchstone; Austin Brooks; Darryl Cox; Douglas Seok; Ben Snow; Ashley Jay Sandberg; Clay Edward Jones; Victoria Angelina Cruz; Ben Scott; Elizabeth Ann Townsend; Capri O'Neill; Livia Chung; Chris Zurcher; Maxim Helmerich; Ken Pomeroy; James McAlister; Damien Lodes; Jennifer Rader; Shaun Maher; Tyler Kijac; Daniel Fortman; Kaden Wittig";"Thriller; Action";"https://letterboxd.com/film/twisters/"
2024;"Furiosa: A Mad Max Saga";3,78;"As the world falls, young Furiosa is snatched from the Green Place of Many Mothers into the hands of a great biker horde led by the warlord Dementus. Sweeping through the wasteland, they encounter the citadel presided over by Immortan Joe. The two tyrants wage war for dominance, and Furiosa must survive many trials as she puts together the means to find her way home.";"George Miller";"Anya Taylor-Joy; Chris Hemsworth; Tom Burke; Alyla Browne; George Shevtsov; Lachy Hulme; John Howard; Angus Sampson; Charlee Fraser; Elsa Pataky; Nathan Jones; Josh Helman; David Field; Rahel Romahn; David Collins; Goran D. Kleut; CJ. Bloomfield; Matuse Paz; Ian Roberts; Guy Spence; Robert Jones; Clarence John Ryan; Tim Burns; Tim Rogers; Florence Mezzara; Quaden Bayles; Peter Stephens; Sean Millis; Lee Perry; Dylan Adonis; David Barnett; Anna Adams; Peter Sammak; Shea Adams; Josh Randall; Karl Van Moorsel; Dawn Klingberg; Richard Norton; Stephen Amadasun; Nick Annas; Ripley Voeten; Matthew Van Leeve; Shane Dundas; Jamie Cluff; Adam Thompson; Shyan Tonga; Nellie Collins; Adam Washbourne; James Corcoran; Sasa Vitanovic; Tige Sixel Miller; Justice Jones; Maleeka Gasbarri; Keza Ishimwe; Nat Buchanan; Jacob Tomuri; Mark Wales; Bryan Probets; Danny Lim; Darcy Bryce; Chudier Gatwech; Shivantha Wijesinha; Spencer Connelly; Ben Smith-Petersen; Toby Fuller; Jayden Irving; Jesse Turner; Jon Iles; Harrison Norris; Ash Hodgkinson; Sean Renfrey; Xanthia Marinelli; Alex Time; Daniel Webber; Zhou Yeye; Nikos Andronicos; Kelli Bailey; Marcia Coronado; Matt De Souza; Hiroshi Kasuga; Shakriya Tarinyawat; Zhang Chongwei";"Science Fiction; Action; Adventure";"https://letterboxd.com/film/furiosa-a-mad-max-saga/"
2024;"Beetlejuice Beetlejuice";3,2;"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Betelgeuse, Lydia’s life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife.";"Tim Burton";"Michael Keaton; Winona Ryder; Catherine O'Hara; Jenna Ortega; Justin Theroux; Willem Dafoe; Monica Bellucci; Arthur Conti; Nick Kellington; Santiago Cabrera; Burn Gorman; Danny DeVito; Sami Slimane; Amy Nuttall; Mark Heenehan; Charlie Hopkinson; Liv Spencer; Skylar Park; Jane Leaney; David Ayres; Sophie Holland; Walles Hamonde; Max Pemberton; Rebecca O'Mara; Adam Speers; Daryl Kwan; Caroline Lawrie; Philip Philmar; Stephen K. Amos; Sean Verre; Noah Mendes; Juliana Yazbeck; Bea Svistunenko; Filipe Cates; Alex Michael Stoll; Rupi Lal; Georgina Beedle; Stefano Marchetti; James Fisher; Ian Hawkins; Tim Burton; Gianni Calchetti; Chloe Driver; Tim Kavanagh; Paul Warren; Gracie Cochrane; Matthew Lyons";"Comedy; Fantasy";"https://letterboxd.com/film/beetlejuice-beetlejuice/"
2021;"The Black Phone";3,27;"Finney Blake, a shy but clever 13-year-old boy, is abducted by a sadistic killer and trapped in a soundproof basement where screaming is of little use. When a disconnected phone on the wall begins to ring, Finney discovers that he can hear the voices of the killer’s previous victims. And they are dead set on making sure that what happened to them doesn’t happen to Finney.";"Scott Derrickson";"Mason Thames; Ethan Hawke; Madeleine McGraw; Jeremy Davies; E. Roger Mitchell; Troy Rudeseal; James Ransone; Miguel Mora; Rebecca Clarke; J. Gaven Wilde; Spencer Fitzgerald; Jordan Isaiah White; Brady Ryan; Tristan Pravong; Jacob Moran; Brady Hepner; Banks Repeta; Kristina Arjona; Sheila M. O'Rear; Rocco Poveromo; Kellan Rhude; Gina Jun; Ryan Cronan; Dashiell Derrickson; Braxton Alexander; Reagan Shumate; Bay Allebach; Andrew Farmer; T. Maxwell Martin; Ron Blake; Robert Fortunato; Chris TC Edge; Mark Riccardi; Megan Petersen; Mike Bailey; Christine Connelly; Matthew Simmons; Parrish Stikeleather; Luca De Massis; Derrick Lemmon; Veronica Russell";"Thriller; Horror";"https://letterboxd.com/film/the-black-phone/"
2024;"I Saw the TV Glow";3,5;"Teenager Owen is just trying to make it through life in the suburbs when his classmate Maddy introduces him to a mysterious TV show — a vision of a supernatural world beneath their own. In the pale glow of the television, Owen’s view of reality begins to crack.";"Jane Schoenbrun";"Justice Smith; Jack Haven; Ian Foreman; Helena Howard; Lindsey Jordan; Danielle Deadwyler; Fred Durst; Conner O'Malley; Emma Portner; Madaline Riley; Amber Benson; Albert Birney; Michael C. Maronna; Danny Tamberelli; Timothy Allan; Tyler Dean Flores; Elizabeth Scopel; Marlyn Bandiero; Haley Dahl; Raina Block; Bailey Wollowitz; Lily Rothman; Phoebe Bridgers; Kris Esfandiari; Wilson Flores; Thommy Northcut; Julie Lodhy; Kenneth Kyle Martinez";"Drama; Horror";"https://letterboxd.com/film/i-saw-the-tv-glow/"
2024;"The Fall Guy";3,4;"Fresh off an almost career-ending accident, stuntman Colt Seavers has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job.";"David Leitch";"Ryan Gosling; Emily Blunt; Aaron Taylor-Johnson; Hannah Waddingham; Teresa Palmer; Stephanie Hsu; Winston Duke; Ben Knight; Matuse Paz; Adam Dunn; Zara Michales; Ioane Sa'ula; Gregory J. Fryer; Madeleine Wilson; Kalkidan China; Angela Nica Sullen; Di Smith; Megan O'Connell; Jack Doherty; Tony Lynch; Georgia Nottage; David Collins; Semu Filipo; Andrew Owen; Dan Reardon; Marky Lee Campbell; Chris Matheson; Nathan Langworthy; Tim Franklin; Scott Johnson; Beth Champion; Emily Havea; Lawrence Ola; Cassandra Sorrell; Ben Gerrard; Diego Retamales; Simon McLachlan; Alex Lee; Andrew Ryan; Lee Majors; Heather Thomas; Jason Momoa; Daniel Nelson; Charlotte Wood; Madeleine Jones; Theodore Avery; Nova Onas; Nathan Bates; Shakriya Tarinyawat; Luisa Mariano; Tahlia Crinis; Martin Cohen; Georgia Willett; Yoji Tatsuta";"Action; Romance; Comedy";"https://letterboxd.com/film/the-fall-guy-2024/"
