"year";"title";"score";"abstract";"Director";"cast";"genres";"link"
2020;"Freaky";3,09;"A mystical, ancient dagger causes a notorious serial killer to magically switch bodies with a 17-year-old girl.";"Christopher Landon";"Vince Vaughn; Kathryn Newton; Celeste O'Connor; Misha Osherovich; Uriah Shelton; Dana Drori; Katie Finneran; Melissa Collazo; Alan Ruck; Brooke Jaye Taylor; Zack Shires; Magnus Diehl; Kelly Lamor Wilson; Nicholas Stargel; Mitchell Hoog; Emily Holder; Jennifer Pierce Mathus; Dustin Lewis; Alonzo Ward; Dane Davenport; Nick Arapoglou; Charles Green; Michelle Ladd; Don Stallings; Sarafina King; Tim Johnson; Carter Glade; Ezra Jeb Sexton; Maria Sager; Mario 'Vocol' Booker; Bennett Tarr; Ashley Stepanek; Eugene Shawn; Shaudry; Hannah Russell; Juleyka Santiago; Morgan Monroe; Eeryn Falk Lubicich; Déjá Dee; Athena Akers; Catherine Joyce Agan; Dwayne 'Showtim3' Dyke Jr.";"Horror; Thriller; Fantasy; Comedy";"https://letterboxd.com/film/freaky/"
2022;"Watcher";3,28;"As a serial killer stalks the city, Julia — a young actress who just moved to town with her husband — notices a mysterious stranger watching her from across the street.";"Chloe Okuno";"Maika Monroe; Karl Glusman; Burn Gorman; Mãdãlina Anea; Daniel Nuta; Gabriela Butuc; Cristina Deleanu; Ștefan Iancu; Florian Ghimpu; Flaviu Crisan; Ioana Abur; Alexandru Ion; Aida Economu; Bogdan Farcaș; Tudor Petruț; Lucian Ionescu; Radu Bunescu; Ciprian Chiricheș; Ionut Grama; Simona Pătruleasa; Ioana Hirica; Alice Cora Mihalache; Andreea Sovan; Adrian Radulescu; Petre Moraru; Marius Cobzariu";"Thriller; Mystery; Horror";"https://letterboxd.com/film/watcher/"
2024;"The Last Showgirl";3,27;"When the glittering Las Vegas revue she has headlined for decades announces it will soon close, a glamorous showgirl must reconcile with the decisions she’s made and the community she has built as she plans her next act.";"Gia Coppola";"Pamela Anderson; Jamie Lee Curtis; Dave Bautista; Brenda Song; Kiernan Shipka; Billie Lourd; John Clofine; Jason Schwartzman; Patrick Hilgart; Jesse Phillips; David Avne; Sean Patrick Bryan";"Drama";"https://letterboxd.com/film/the-last-showgirl/"
2024;"Uglies";1,39;"In a futuristic dystopia with enforced beauty standards, a teen awaiting mandatory cosmetic surgery embarks on a journey to find her missing friend.";"McG";"Joey King; Brianne Tju; Keith Powers; Chase Stokes; Laverne Cox; Charmin Lee; Jay DeVon Johnson; Jan Luis Castellanos; Sarah Vattano; Ashton Essex Bright; Zamani Wilder; Joseph Echavarria; Gabriella Garcia; Ash Maeda; Jordan Sherley; Paria Akbarshahi; Jessica Craig; Ashley Lambert; Bre Tiesi; Brett Hoyle; Luke Eisner; Jillian Murray; Robert Palmer Watkins; Scott Westerfeld; Dutch Johnson; Grant Mellon; Will Poston; Lucky Blue Smith; Katie McSweeney; Ashley Marie Dickerson; Kelly Gale; Haroon Khan; Jocelyn Chew; Lindsay Rootare; Dora Owusu; Joe Sterrey; Jelixza Reyes; James McCoy; Sara Sanderson";"Science Fiction; Adventure; Action";"https://letterboxd.com/film/uglies/"
2025;"Sorry, Baby";4,08;"Something bad happened to Agnes. But life goes on… for everyone around her, at least.";"Eva Victor";"Eva Victor; Naomi Ackie; Louis Cancelmi; Kelly McCormack; Lucas Hedges; John Carroll Lynch; Hettienne Park; E.R. Fightmaster; Cody Reiss; Jordan Mendoza; Anabel Graetz; Jonathan Myles; Danny Diaz; Marc Carver; Liz Bishop; Natalie Rotter-Laitman; Francesca D'Uva; Alison Wachtler; David J. Curtis; Priscilla Manning; Kate Fitzgerald; Jesse Gabbard; Lucien Spelman; Tom Ford; Celeste Oliva; Chhoyang Cheshatsang; Conor Sweeney; Lensley Miles Adam; Langston Shelby Moore; Noochie the Cat; Eric Josif; Tierre Diaz; Casey McNeal; Jim Powers; Debora Strout";"Comedy; Drama";"https://letterboxd.com/film/sorry-baby-2025/"
2024;"One Day";4,12;"After spending graduation night together, Emma and Dexter go their separate ways — but their lives remain intertwined.";"Molly Manners";"Ambika Mod; Leo Woodall";"Drama";"https://letterboxd.com/film/one-day-2024/"
2022;"Entergalactic";3,77;"Ambitious artist Jabari attempts to balance success and love when he moves into his dream Manhattan apartment and falls for his next-door neighbor.";"Fletcher Moules";"Kid Cudi; Jessica Williams; Laura Harrier; Ty Dolla Sign; Timothée Chalamet; Vanessa Hudgens; Christopher Abbott; Keith David; Arturo Castro; Jaden Smith; 070 Shake; Macaulay Culkin; Maisha Mescudi; Francesca Reale; Kerwin Frost; Teyana Taylor; Kenya Barris; Luis Guzmán; Ian Edelman; Maurice Williams; Fawn Stone; Bill Lobley; Montego Glover; Washington Kirk";"Romance; Animation; Music; TV Movie";"https://letterboxd.com/film/entergalactic/"
2023;"Poison";3,59;"When a poisonous snake slithers onto an Englishman’s stomach in India, his associate and a doctor race to save him.";"Wes Anderson";"Benedict Cumberbatch; Dev Patel; Ben Kingsley; Ralph Fiennes; Eliel Ford; Benoît Herlin";"Thriller; Comedy";"https://letterboxd.com/film/poison-2023/"
2021;"Jujutsu Kaisen 0";3,93;"Yuta Okkotsu is a nervous high school student who is suffering from a serious problem—his childhood friend Rika has turned into a curse and won’t leave him alone. Since Rika is no ordinary curse, his plight is noticed by Satoru Gojo, a teacher at Jujutsu High, a school where fledgling exorcists learn how to combat curses. Gojo convinces Yuta to enroll, but can he learn enough in time to confront the curse that haunts him?";"Sunghoo Park";"Megumi Ogata; Kana Hanazawa; Yuichi Nakamura; Takahiro Sakurai; Mikako Komatsu; Koki Uchiyama; Tomokazu Seki; Mitsuo Iwata; Takaya Kuroda; Risae Matsuda; Satsumi Matsuda; Shizuka Itoh; Show Hayami; Koichi Yamadera; Subaru Kimura; Satoshi Hino; Rie Kugimiya; Marina Inoue; Chinatsu Akasaki; Yoshitsugu Matsuoka; Kenjiro Tsuda; Aya Endo; Kotono Mitsuishi; Yuu Hayashi; Sora Tokui; Shin-ichiro Miki; Taiki Yamashita; Hina Suguta; Seiko Fujiki; Binbin Takaoka; Yurika Hino; Osamu Mukai; Eiji Yoshitomi; Itaru Yamamoto; Hayato Fujii; Shohei To; Hinata Tadokoro; Shuichi Uchida; Natsu Yorita; Ikuji Nose; Yasuhiro Mamiya; Jun Inoue; Kousuke Oonishi; Natsuko Abe";"Action; Animation; Fantasy";"https://letterboxd.com/film/jujutsu-kaisen-0/"
2024;"Tarot";2;"When a group of friends recklessly violate the sacred rule of Tarot readings, they unknowingly unleash an unspeakable evil trapped within the cursed cards. One by one, they come face to face with fate and end up in a race against death.";"Spenser Cohen";"Harriet Slater; Adain Bradley; Avantika; Jacob Batalon; Humberly González; Wolfgang Novogratz; Larsen Thompson; Olwen Fouéré; Sunčica Milanović; Alan Wells; Joss Carter; James Swanton; Staša Nikolić; Anna Halberg; Cavin Cornwall; Lucy Ridley; Felix Leech; Vahidin Prelić; Dunja Pavlović; Višnja Obradović";"Horror";"https://letterboxd.com/film/tarot-2024/"
